topology,mode,seed,tick,route_changes,phase
er,baseline,104,72,0,recovery
er,baseline,104,73,0,recovery
er,baseline,104,74,0,recovery
er,baseline,104,75,0,recovery
er,baseline,104,76,0,recovery
er,baseline,104,77,0,recovery
er,baseline,104,78,0,recovery
er,baseline,104,79,0,recovery
er,memory_only,104,1,2904,pre
er,memory_only,104,2,5104,pre
er,memory_only,104,3,1232,pre
er,memory_only,104,4,48,pre
er,memory_only,104,5,0,pre
er,memory_only,104,6,0,pre
er,memory_only,104,7,0,pre
er,memory_only,104,8,0,pre
er,memory_only,104,9,0,pre
er,memory_only,104,10,0,pre
er,memory_only,104,11,0,pre
er,memory_only,104,12,0,pre
er,memory_only,104,13,0,pre
er,memory_only,104,14,0,pre
er,memory_only,104,15,0,stage1
er,memory_only,104,16,0,stage1
er,memory_only,104,17,0,stage1
er,memory_only,104,18,0,stage1
er,memory_only,104,19,0,stage1
er,memory_only,104,20,33,stage1
er,memory_only,104,21,20,stage1
er,memory_only,104,22,0,stage1
er,memory_only,104,23,0,stage1
er,memory_only,104,24,0,stage1
er,memory_only,104,25,0,stage1
er,memory_only,104,26,0,stage1
er,memory_only,104,27,0,stage1
er,memory_only,104,28,0,stage1
er,memory_only,104,29,0,stage1
er,memory_only,104,30,0,stage1
er,memory_only,104,31,33,pre
er,memory_only,104,32,0,pre
er,memory_only,104,33,0,pre
er,memory_only,104,34,0,pre
er,memory_only,104,35,0,pre
er,memory_only,104,36,0,pre
er,memory_only,104,37,0,pre
er,memory_only,104,38,0,pre
er,memory_only,104,39,0,pre
er,memory_only,104,40,0,stage2
er,memory_only,104,41,0,stage2
er,memory_only,104,42,0,stage2
er,memory_only,104,43,0,stage2
er,memory_only,104,44,0,stage2
er,memory_only,104,45,0,stage2
er,memory_only,104,46,70,stage2
er,memory_only,104,47,0,stage2
er,memory_only,104,48,0,stage2
er,memory_only,104,49,0,stage2
er,memory_only,104,50,0,stage2
er,memory_only,104,51,0,stage2
er,memory_only,104,52,0,stage2
er,memory_only,104,53,0,stage2
er,memory_only,104,54,0,stage2
er,memory_only,104,55,0,stage2
er,memory_only,104,56,0,recovery
er,memory_only,104,57,0,recovery
er,memory_only,104,58,0,recovery
er,memory_only,104,59,0,recovery
er,memory_only,104,60,0,recovery
er,memory_only,104,61,0,recovery
er,memory_only,104,62,0,recovery
er,memory_only,104,63,0,recovery
er,memory_only,104,64,0,recovery
er,memory_only,104,65,0,recovery
er,memory_only,104,66,0,recovery
er,memory_only,104,67,0,recovery
er,memory_only,104,68,0,recovery
er,memory_only,104,69,0,recovery
er,memory_only,104,70,0,recovery
er,memory_only,104,71,0,recovery
er,memory_only,104,72,0,recovery
er,memory_only,104,73,0,recovery
er,memory_only,104,74,0,recovery
er,memory_only,104,75,0,recovery
er,memory_only,104,76,0,recovery
er,memory_only,104,77,0,recovery
er,memory_only,104,78,0,recovery
er,memory_only,104,79,0,recovery
er,full,104,1,2904,pre
er,full,104,2,5104,pre
er,full,104,3,1232,pre
er,full,104,4,48,pre
er,full,104,5,0,pre
er,full,104,6,0,pre
er,full,104,7,0,pre
er,full,104,8,0,pre
er,full,104,9,0,pre
er,full,104,10,0,pre
er,full,104,11,0,pre
er,full,104,12,0,pre
er,full,104,13,0,pre
er,full,104,14,0,pre
er,full,104,15,0,stage1
er,full,104,16,0,stage1
er,full,104,17,0,stage1
er,full,104,18,0,stage1
er,full,104,19,0,stage1
er,full,104,20,140,stage1
er,full,104,21,38,stage1
er,full,104,22,0,stage1
er,full,104,23,0,stage1
